Skoob,Name,Score /5,Editora,Autor,Genero Autor,Nacionalidade,Lingua,Terminado em:,Status,Tenho,Tentativas de leitura,Ku,Prime,HQ,Meta 2023,Serie,Ano Compra,Formato,Genêro,Nacional,Traduzido,Doar,Número de paginas total,Minoria,Cliche
Yes,O sol desvelado,,Alef,Isaac Asimov,Homem,Russo,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Ficção Cientifica,Internacional,Traduzido,No,,,
Yes,Os robôs da alvorado,,Alef,Isaac Asimov,Homem,Russo,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Ficção Cientifica,Internacional,Traduzido,No,,,
Yes,Robôs e Império,,Alef,Isaac Asimov,Homem,Russo,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Ficção Cientifica,Internacional,Traduzido,No,,,
Yes,Loucos por Livros,⭐️⭐️⭐️⭐️⭐️,Verus,Emily Henry,Mulher,Usa,Portugues,2023/11/12,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Romance,Internacional,Traduzido,No,434,,
Yes,E foi assim que tudo mudou,⭐️⭐️⭐️⭐️,‎ Astral Cultural,Thais Bergmann,Mulher,Brasil,Portugues,2023/11/05,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Romance,Nacional,Na,No,240,,
Yes,Será que é o meu número?,⭐️⭐️⭐️⭐️,Universo dos Livros,Julie Murphy,Mulher,Usa,Portugues,2023/01/25,Lido,Yes,2,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Na,No,,,
Yes,Leitura de Verão,⭐️⭐️⭐️⭐️⭐️,Verus,Emily Henry,Mulher,Usa,Portugues,2023/02/07,Lido,Yes,1,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Traduzido,No,364,,
Yes,Fake it to the Limit,⭐️⭐️⭐️⭐️,Independente,Mary Frame,Mulher,Usa,Ingles,2023/03/23,Lido,Yes,1,No,No,No,No,Yes,2023,Ebook,Romance,Internacional,Não Traduzido,No,218,,
Yes,Too much crime on my hands,⭐️⭐️⭐️⭐️⭐️,Independente,Mary Frame,Mulher,Usa,Ingles,2023/03/27,Lido,Yes,1,No,No,No,No,Yes,2023,Ebook,Romance,Internacional,Não Traduzido,No,,,
Yes,Joyland,⭐️⭐️⭐️,Suma,Stephen King,Homem,Usa,Portugues,2023/04/16,Lido,Yes,2,No,No,No,Yes,No,2022,Fisico,Suspense,Internacional,Traduzido,No,,,
Yes,Amor(es) Verdadeir(os),⭐️⭐️⭐️⭐️⭐️,Paralela,Taylor Jenkins Reid,Mulher,Usa,Portugues,2023/05/19,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Uma mulher no escuro,⭐️⭐️⭐️⭐️⭐️,Companhias das Letras,Rafael Montes,Homem,Brasil,Portugues,2022/12/25,Lido,Yes,1,No,No,No,Yes,No,2022,Fisico,Suspense,Nacional,Traduzido,No,,,
Yes,A equação perfeita do amor,⭐️⭐️⭐️⭐️⭐️,Universo dos Livros,Christina Lauren,Mulher,Usa,Portugues,2022/12/12,Lido,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,,No,,,
Yes,Verity,⭐️⭐️⭐️⭐️,Galera,Collen Hoover,Mulher,Usa,Portugues,2022/09/28,Lido,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Imperfeitos ",⭐️⭐️⭐️⭐️⭐️,Faro,Christina Lauren,Mulher,Usa,Portugues,2022/08/24,Lido,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Ela fica com a garota,⭐️⭐️⭐️⭐️⭐️,GloboAlt,"Alyson Derrick, Rachael Lippincott",Mulher,Usa,Portugues,2022/08/09,Lido,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Lendo de cabeça para baixo,⭐️⭐️,Fábrica231,Jo Peatt,Mulher,Inglaterra,Portugues,2022/06/30,Lido,No,,No,No,No,No,No,2022,Ebook,Romance,Internacional,,No,,,Mocinha da cidade grande vai para cidade pequena
Yes,Confesse,⭐️⭐️⭐️⭐️,Galera,Collen Hoover,Mulher,Usa,Portugues,2022/05/15,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,A caminho do verão,⭐️⭐️⭐️⭐️,Id,Sarah Dessen,Mulher,Usa,Portugues,2022/04/14,Lido,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes," Os sete maridos de Evelyn Hugo",⭐️⭐️⭐️⭐️,Paralela,Taylor Jenkins Reid,Mulher,Usa,Portugues,2022/04/13,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"The love hypothesis ",⭐️⭐️⭐️⭐️⭐️,Arqueiro,Ali Hazelwood,Mulher,Usa,Portugues,2022/04/13,Lido,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Entre estantes ",⭐️⭐️⭐️⭐️⭐️,Independente,Olívia Pilar,Mulher,Brasil,Portugues,2022/04/01,Lido,Yes,,No,No,No,No,No,2020,Ebook,Romance,Nacional,,No,,,
Yes,Até o verão acabar,⭐️⭐️⭐️⭐️⭐️,Galera,Collen Hoover,Mulher,Usa,Portugues,2022/03/01,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,De Lukov com amor,⭐️⭐️⭐️⭐️,Charme,Mariana Zapata,Mulher,Usa,Portugues,2022/02/13,Lido,No,,No,No,No,No,No,2022,Ebook,Romance,Internacional,,No,,,
Yes,O resto da historia,⭐️⭐️⭐️⭐️,‎ HarperCollins,Sarah Dessen,Mulher,Usa,Portugues,2022/01/29,Lido,Yes,,No,No,No,No,No,2022,Ebook,Romance,Internacional,Traduzido,No,,,
Yes,Hacker,⭐️⭐️⭐️⭐️,Independente,Ray Tavares,Mulher,Brasil,Portugues,2021/12/28,Lido,No,,No,No,No,No,No,2021,Ebook,Romance,Nacional,,No,,,
Yes,Todas as suas (im)perfeições,⭐️⭐️⭐️⭐️,Galera,Collen Hoover,Mulher,Usa,Portugues,2021/12/26,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Motivos para não te encontrar,⭐️⭐️⭐️⭐️⭐️,Independente,Thais Bergmann,Mulher,Brasil,Portugues,2021/12/08,Lido,No,,No,No,No,No,No,2021,Ebook,Romance,Nacional,,No,,,
Yes,O lado feio do amor,⭐️⭐️⭐️,Galera,Collen Hoover,Mulher,Usa,Portugues,2021/11/26,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Os padrinhos,⭐️⭐️⭐️⭐️,Independente,Olivia Uviplais,Mulher,Brasil,Portugues,2021/11/24,Lido,No,,No,No,No,No,No,2021,Ebook,Romance,Nacional,,No,,,
Yes,Novembro 9,⭐️⭐️⭐️⭐️,Galera,Collen Hoover,Mulher,Usa,Portugues,2021/10/29,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Sombra e Ossos,⭐️⭐️⭐️,Planeta Minotauro,Leigh Bardugo,Mulher,Usa,Portugues,2021/10/21,"Doado, Lido",No,,No,No,No,No,Yes,2021,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Nuca Jamais - III,⭐️⭐️⭐️,Galera,"Collen Hoover, Tarryn Fisher",Mulher,Usa,Portugues,2021/10/13,Lido,Yes,,No,No,No,No,Yes,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Nuca Jamais - II,⭐️⭐️⭐️⭐️,Galera,"Collen Hoover, Tarryn Fisher",Mulher,Usa,Portugues,2021/10/13,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Nuca Jamais - I,⭐️⭐️⭐️⭐️⭐️,Galera,"Collen Hoover, Tarryn Fisher",Mulher,Usa,Portugues,2021/10/13,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,O erro,⭐️⭐️⭐️,Paralela,Elle Kennedy,Mulher,Usa,Portugues,2021/10/08,Lido,Yes,,No,No,No,No,Yes,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,O acordo,⭐️⭐️⭐️,Paralela,Elle Kennedy,Mulher,Usa,Portugues,2021/10/08,Lido,Yes,,No,No,No,No,Yes,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Rainhas Geek,⭐️⭐️⭐️⭐️,Planeta Minotauro,Jen Wilde,Mulher,Usa,Portugues,2021/10/08,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Tudo e Todas as Coisas,⭐️⭐️⭐️⭐️⭐️,Arqueiro,Nicola Yoon,Mulher,Usa,Portugues,2017/10/19,Lido,No,,No,No,No,No,No,,Fisico,Romance,Internacional,,No,,,
Yes,O Menino Que Se Alimentava de Pesadelos,⭐️⭐️⭐️⭐️⭐️,intrínseca,Jo Yong,Mulher,Coreia,Portugues,,Lido,Yes,,No,No,No,No,No,2021,Fisico,Infanto Juvenil,Internacional,Traduzido,No,,,
Yes,"Quando a noite cai ",⭐️⭐️⭐️,Verus,Carina Rissi,Mulher,Brasil,Portugues,2020/08/13,Lido,Yes,,No,No,No,No,No,2020,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Procura-se um Marido,⭐️⭐️⭐️⭐️⭐️,Verus,Carina Rissi,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2020,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,No mundo da Luna,⭐️⭐️⭐️⭐️⭐️,Verus,Carina Rissi,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2019,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,"Mentira perfeita ",⭐️⭐️⭐️⭐️⭐️,Verus,Carina Rissi,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2020,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Perdida,⭐️⭐️⭐️,Verus,Carina Rissi,Mulher,Brasil,Portugues,2017/08/13,Lido,No,,No,No,No,No,Yes,2017,Ebook,Romance,Nacional,Traduzido,No,,,
Yes,Encontrada,⭐️⭐️⭐️,Verus,Carina Rissi,Mulher,Brasil,Portugues,2017/04/13,Lido,No,,No,No,No,No,Yes,2017,Ebook,Romance,Nacional,Traduzido,No,,,
Yes,Instrumentos Mortais - Cidade dos Ossos,⭐️⭐️⭐️,Galera,Cassandra Clare,Mulher,Usa,Portugues,2017/08/13,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Instrumentos Mortais Cidade do Fogo Celestial,,Galera,Cassandra Clare,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Instrumentos Mortais Cidade dos anjos caidos,,Galera,Cassandra Clare,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Instrumentos Mortais Cidade das Almas Perdidas,,Galera,Cassandra Clare,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,Instrumentos Mortais Cidade de vidro,,Galera,Cassandra Clare,Mulher,Usa,Portugues,,Abandonado,Yes,,No,No,No,No,Yes,2018,Fisico,Fantasia,Internacional,Traduzido,No,,,
Yes,"Em busca de cinderela ",,Galera,Collen Hoover,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,É assim que acaba,⭐️⭐️⭐️⭐️⭐️,Galera,Collen Hoover,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Uma segunda chance ",,Galera,Collen Hoover,Mulher,Usa,Portugues,,Em pausa,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Tarde demais,,Galera,Collen Hoover,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Se não fosse você ",,Galera,Collen Hoover,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Métrica,,Galera,Collen Hoover,Mulher,Usa,Portugues,,Em pausa,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Layla,,Galera,Collen Hoover,Mulher,Usa,Portugues,,Em pausa,Yes,,No,No,No,Yes,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Serviço de atendimento a corações partidos,⭐️⭐️⭐️⭐️,Melhoramentos,Giulia Paim,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,No,2021,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Boston Boys,⭐️⭐️⭐️⭐️,GloboAlt,Giulia Paim,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Boston Boys II,⭐️⭐️⭐️⭐️,GloboAlt,Giulia Paim,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,Yes,2018,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Boston Boys III,⭐️⭐️⭐️,Melhoramentos,Giulia Paim,Mulher,Brasil,Portugues,,Lido,Yes,,No,No,No,No,Yes,2021,Fisico,Romance,Nacional,Traduzido,No,,,
No,Penumbra,,Leya,André Vianco,Homem,Brasil,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,Suspense,Nacional,Traduzido,No,,,
Yes,She drives me crazy,,Roaring Brook Press,Kelly Quindlen,Mulher,Usa,Ingles,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Romance,Internacional,,No,,,
Yes,"Uma rosa no concreto ",,Galera,Angie Thomas,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,"Na hora da virada ",,Galera,Angie Thomas,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Never Kiss Your Roommate,,Wattpad Books,Philline Harms,Mulher,Usa,Ingles,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Romance,Internacional,Não Traduzido,No,,Lgbt - Safico,
Yes,Misery: Louca obsessão,,Suma,Stephen King,Homem,Usa,Portugues,,Em pausa,Yes,,No,No,No,No,No,2023,Fisico,Suspense,Internacional,Traduzido,No,,,
Yes,Uma Pitada de sorte,⭐️⭐️⭐️⭐️,Independente,G. B. Baldassari,Mulher,Brasil,Portugues,2023/07/10,Lido,No,1,Yes,No,No,No,No,2023,Ebook,Romance,Nacional,Na,No,332,Lgbt - Safico,
Yes,Os Segredos de Colin Bridgerton,⭐️⭐️⭐️⭐️,Arqueiro,Julia Quin,Mulher,Usa,Portugues,,Lido,No,,No,No,No,No,Yes,,Ebook,Romance,Internacional,Traduzido,No,,,
Yes,Um perfeito cavaleiro,⭐️⭐️⭐️⭐️,Arqueiro,Julia Quin,Mulher,Usa,Portugues,,Lido,No,,No,No,No,No,Yes,,Ebook,Romance,Internacional,Traduzido,No,,,
Yes,A Garota do Banco de Trás,⭐️⭐️⭐️⭐️⭐️,Independente,Mary C. Müller,Mulher,Brasil,Portugues,,Lido,No,,No,No,No,No,No,,Ebook,Romance,Nacional,,No,,,
No,Dias Perfeitos,,Companhias das Letras,Raphael Montes,Homem,Brasil,Portugues,,Lendo,Yes,,No,No,No,No,No,2023,Ebook,Suspense,Nacional,,No,,,
Yes,Desventuras quase românticas de um festival,,Gutenberg,Babi Dewet,Mulher,Brasil,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Nacional,Traduzido,No,,,
No,Nem todos os beijos têm gosto de inverno,,Independente,Yasmim Mahmud Kader,Mulher,Brasil,Portugues,,Lendo,Yes,,No,No,No,No,No,2023,Ebook,Romance,Nacional,Na,No,,Lgbt - Safico,
Yes,Cool for the summer,,GloboAlt,Dahlia Adler,Mulher,Usa,Portugues,,"Doado, Não começado",No,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Um homem chamado Ove,,Rocco,Fredrik Backman,Homem,Suécia,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Ficção humorística,Internacional,Traduzido,No,,,
Yes,Jogos de Herença,,GloboAlt,Jennifer Lynn Barnes,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Cartas para Martin,,intrínseca,Nic Stone,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Gay de Familia,,Paralela,Flipe Fagundes,Homem,Brasil,Portugues,,Não começado,Yes,,No,No,No,No,No,2023,Fisico,Romance,Nacional,,No,,,
Yes,Delilah Green não está nem ai,⭐️⭐️⭐️⭐️⭐️,Arqueiro,Ashley Herring Blake,Mulher,Usa,Portugues,2023/06/19,Lido,Yes,1,No,No,No,No,No,2023,Fisico,Romance,Internacional,Traduzido,No,,Lgbt - Safico,
Yes,O Iluminado,,Suma,Stephen King,Homem,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Suspense,Internacional,Traduzido,No,,,
Yes,Os dois morrem no final,,intrínseca,Adam Silvera,Homem,Usa,Portugues,,Não começado,Yes,,No,No,No,Yes,No,2021,Fisico,Romance,Internacional,Traduzido,No,,,
No,O sonho de Eva,,Novas paginas,Chico Anes,Homem,Brasil,Portugues,,Doado,No,,No,No,No,No,No,?,Fisico,Distopia,Nacional,Traduzido,No,,,
Yes,Os 12 signos de Valentina,,Galera,Ray Tavares,Mulher,Brasil,Portugues,,Em pausa,Yes,,No,No,No,No,No,2020,Fisico,Romance,Nacional,Traduzido,No,,,
Yes,Someone Like You,,Turtleback Books,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Não Traduzido,No,,,
Yes,The Truth About Forever,,‎ Perfection Learning,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,Yes,,No,No,No,Yes,No,2022,Fisico,Romance,Internacional,Não Traduzido,No,,,
Yes,O Que Aconteceu com Adeus,,Id,Sarah Dessen,Mulher,Usa,Portugues,,Não começado,Yes,,No,No,No,No,No,2022,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Só escute,⭐️⭐️⭐️⭐️⭐️,Seguinte,Sarah Dessen,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2017,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Uma Canção de Ninar,⭐️⭐️⭐️⭐️⭐️,Seguinte,Sarah Dessen,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2016,Fisico,Romance,Internacional,Traduzido,No,,,
Yes,Os bons segredos,⭐️⭐️⭐️⭐️⭐️,Seguinte,Sarah Dessen,Mulher,Usa,Portugues,,Lido,Yes,,No,No,No,No,No,2019,Fisico,Romance,Internacional,Traduzido,No,,,
No,Lock And Key,,Speak,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,No,,No,No,No,No,No,,Fisico,Romance,Internacional,Não Traduzido,No,,,
No,Once and for all,,,Sarah Dessen,Mulher,Usa,Ingles,,,No,,No,No,No,No,No,,,Romance,Internacional,Não Traduzido,No,,,
No,Infinity,,,Sarah Dessen,Mulher,Usa,Ingles,,,No,,No,No,No,No,No,,,Romance,Internacional,Não Traduzido,No,,,
No,The Moon And More,,Speak,Sarah Dessen,Mulher,Usa,Ingles,,Não começado,No,,No,No,No,No,No,,Fisico,Romance,Internacional,Não Traduzido,No,,,
